Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,crime_12m,crime_rank,crime_risk_score
Avonside,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Woody Head,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Woolgarlo,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Woolners Arm,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Worlds End,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Haystack,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Hazelgrove,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Longarm,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Lords Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Harparary,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Back Creek (Gwydir),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Back Creek (Mid-Coast),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Back Creek (Tenterfield),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wongo Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Woodhill,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Woodhouselee,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Lower Bago,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Lower Duck Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Lower Dyraaba,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Lower Peacock,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Halton,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Hambledon Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Hanleys Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Lowther,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mabins Well,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Macdonalds Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Macquarie Marshes,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wombat Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wonboyn North,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
