suburb_code,suburb_name,IRSD_score,IRSD_decile,IRSAD_score,IRSAD_decile
10124,Back Creek (Bland - NSW),1054.986072,8,1020.647051,7
10125,Back Creek (Gwydir - NSW),1011.839805,5,986.073398,5
10126,Back Creek (Mid-Coast - NSW),915.1580694,2,887.1575538,1
10127,Back Creek (Queanbeyan-Palerang Regional - NSW),1010.160562,5,972.6010446,5
10128,Back Creek (Tenterfield - NSW),937.1975256,2,937.743422,3
10129,Back Creek (Tweed - NSW),966.4675038,3,948.8747623,3
10130,Back Forest,1086.975436,10,1068.886171,9
10131,Backmede,953.0655181,2,919.7540517,2
10132,Backwater,1009.702059,5,994.4835796,6
10133,Badgerys Creek,949.210641,2,988.3043871,6
10134,Badja,1017.342686,6,1029.426952,8
10135,Baerami,1036.063395,7,991.7336095,6
10136,Baerami Creek,1036.063395,7,991.7336095,6
10137,Bagnoo,986.6558765,4,952.8328756,4
10138,Bago,987.839041,4,951.730525,4
10139,Bagotville,931.8937574,2,912.2034544,2
10140,Bakers Creek (Mid-Coast - NSW),1004.44154,5,972.3574865,5
10141,Bakers Creek (Nambucca Valley - NSW),862.2833124,1,839.0301457,1
10142,Bakers Creek (Uralla - NSW),958.8911334,3,936.8462617,3
10143,Bakers Swamp,1038.423429,7,1022.648225,8
10144,Balaclava (NSW),1046.28769,7,1001.774368,6
10145,Balala,958.8911334,3,936.8462617,3
10146,Balcolyn,986.3509738,4,949.4923195,3
10147,Bald Blair,1009.702059,5,994.4835796,6
10148,Bald Hills (NSW),1057.653461,8,1004.278597,7
10149,Bald Nob,980.1685743,4,975.997221,5
10150,Bald Ridge,943.2168116,2,914.0173255,2
10151,Baldersleigh,1091.812994,10,1060.361426,9
10152,Baldry,1029.206713,6,1021.347709,7
10153,Balfours Peak,992.5320181,4,982.3065511,5
10154,Balgowlah,1093.280689,10,1146.309638,10
10155,Balgowlah Heights,1138.902048,10,1201.806483,10
10156,Balgownie,1030.645493,6,1034.955163,8
10157,Balickera,1037.313138,7,997.5852968,6
10158,Balladoran,1008.899769,5,1001.627342,6
10159,Ballalaba,1050.669512,8,1035.907711,8
10160,Balldale,1027.361822,6,993.3463174,6
10161,Ballengarra,962.3478524,3,957.3947347,4
10162,Ballimore,1021.717719,6,984.8782189,5
10163,Ballina,946.8124593,2,927.7515667,3
10164,Ballyroe,943.2168116,2,914.0173255,2
10165,Balmain,1080.836295,10,1154.877658,10
10166,Balmain East,1096.796543,10,1164.199152,10
10167,Balmoral (Lake Macquarie - NSW),1049.973345,8,1023.416352,8
10168,Balmoral (Wingecarribee - NSW),1039.353369,7,995.6107129,6
10169,Balranald,935.0377875,2,914.8924861,2
10170,Bamarang,1073.6996,9,1046.758444,9
10172,Bandon Grove,1065.799703,9,1031.63837,8
10173,Bangadang,996.6637691,4,957.7731194,4
10174,Bangalee (NSW),1092.257491,10,1066.304254,9
10175,Bangalow,1068.438217,9,1081.575074,10
10176,Bangheet,1072.473217,9,1055.056774,9
10177,Bango,1098.686475,10,1110.433768,10
10178,Bangor (NSW),1096.057643,10,1099.670983,10
10179,Banksia,988.6561756,4,1022.855452,8
10180,Banksmeadow,1083.585312,10,1144.514863,10
10181,Bankstown,847.170354,1,912.9660491,2
10183,Bannaby,1026.691928,6,1020.662497,7
10184,Bannister (NSW),1063.20562,9,1033.775151,8
10185,Banoon,1048.300637,8,1023.781045,8
10186,Banora Point,992.4404073,4,957.1075794,4
10187,Banyabba,896.660849,1,872.8375213,1
10188,Bar Beach,1027.785997,6,1068.997908,9
10189,Bar Point,1008.671285,5,990.5746309,6
10190,Bara,1025.489982,6,967.2942628,4
10191,Baradine,889.9165801,1,875.9150062,1
10192,Barangaroo,1107.091663,10,1213.827938,10
10194,Barden Ridge,1107.55793,10,1111.978168,10
