lga_code,lga_name,IRSAD_score,IRSAD_decile
56580,Nedlands,1159,10
56620,Ngaanyatjarraku,717,1
56730,Northam,914,3
56790,Northampton,923,3
56860,Nungarin,960,6
56930,Peppermint Grove,1161,10
57000,Perenjori,1023,9
57080,Perth,1081,10
57140,Pingelly,900,2
57210,Plantagenet,929,4
57280,Port Hedland,997,8
57350,Quairading,941,4
57420,Ravensthorpe,970,7
57490,Rockingham,962,6
57630,Sandstone,906,2
57700,Serpentine-Jarrahdale,995,8
57770,Shark Bay,942,5
57840,South Perth,1086,10
57910,Stirling,1035,9
57980,Subiaco,1119,10
58050,Swan,974,7
58190,Tammin,942,5
58260,Three Springs,947,5
58330,Toodyay,952,5
58400,Trayning,896,2
58470,Upper Gascoyne,920,3
58510,Victoria Park,1042,9
58540,Victoria Plains,1004,8
58570,Vincent,1097,10
58610,Wagin,921,3
58680,Wandering,982,8
58760,Wanneroo,988,8
58820,Waroona,908,2
58890,West Arthur,1007,8
59030,Westonia,1004,8
59100,Wickepin,967,7
59170,Williams,1008,9
59250,Wiluna,821,1
59310,Wongan-Ballidu,936,4
59320,Woodanilling,982,8
59330,Wyalkatchem,898,2
59340,Wyndham-East Kimberley,934,4
59350,Yalgoo,870,1
59360,Yilgarn,955,6
59370,York,938,4
60210,Break O'Day,881,2
60410,Brighton,862,1
60610,Burnie,895,2
60810,Central Coast (Tas.),923,3
61010,Central Highlands (Tas.),888,2
61210,Circular Head,908,2
61410,Clarence,989,8
61510,Derwent Valley,879,2
61610,Devonport,883,2
61810,Dorset,900,2
62010,Flinders (Tas.),947,5
62210,George Town,846,1
62410,Glamorgan-Spring Bay,924,3
62610,Glenorchy,911,3
62810,Hobart,1062,10
63010,Huon Valley,946,5
63210,Kentish,918,3
63410,King Island,955,6
63610,Kingborough,1020,9
63810,Latrobe (Tas.),928,4
64010,Launceston,926,3
64210,Meander Valley,940,4
64610,Northern Midlands,929,4
64810,Sorell,946,5
65010,Southern Midlands,911,3
65210,Tasman,902,2
65410,Waratah-Wynyard,900,2
65610,West Coast,844,1
65810,West Tamar,970,7
70200,Alice Springs,1004,8
70420,Barkly,790,1
70540,Belyuen,662,1
70620,Central Desert,697,1
70700,Coomalie,900,2
71000,Darwin,1036,9
71150,Darwin Waterfront Precinct,1165,10
71300,East Arnhem,694,1
72200,Katherine,965,7
72300,Litchfield,1014,9
72330,MacDonnell,727,1
72800,Palmerston,998,8
73600,Roper Gulf,709,1
74050,Tiwi Islands,729,1
74550,Victoria Daly,729,1
74560,Wagait,970,7
74660,West Arnhem,728,1
74680,West Daly,677,1
79399,Unincorporated NT,1014,9
89399,Unincorporated ACT,1091,10
99399,Unincorp. Other Territories,952,5
