Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025
Ashtonfield,9,19,11,5,8,14,20,14,7,8,4,8
Asquith,12,43,26,8,13,9,8,16,26,8,13,6
Atholwood,0,0,0,0,1,0,0,0,0,0,1,0
Attunga,0,5,0,4,3,4,7,1,1,0,1,2
Auburn,251,228,230,214,222,244,254,201,196,231,209,222
Auburn Vale,0,0,0,0,0,0,1,0,0,0,0,0
Austinmer,10,4,7,7,7,5,7,8,7,4,7,5
Austral,38,47,34,44,41,47,42,48,31,44,63,36
Austral Eden,0,1,0,2,0,0,0,0,0,1,0,0
Avalon Beach,19,13,26,17,17,13,21,15,27,16,6,13
Avisford,0,0,0,0,1,0,0,0,0,0,0,1
Avoca,1,0,2,0,2,0,0,2,0,0,0,2
Avoca Beach,3,15,10,13,8,22,31,10,19,6,17,9
Avon,0,0,0,0,0,0,0,0,0,0,0,0
Avondale,3,14,12,7,7,11,4,10,9,12,6,7
Avonside,0,0,0,0,0,0,0,0,0,0,0,0
Awaba,4,3,1,7,6,9,2,3,18,9,7,9
Aylmerton,1,1,0,0,0,0,0,1,0,1,1,1
Baan Baa,0,0,2,2,1,0,4,0,0,4,0,0
Babinda,0,0,0,0,0,0,0,0,0,0,0,0
Babyl Creek,0,0,0,0,0,0,0,0,0,0,0,0
Back Creek (Bland),0,0,0,0,0,0,0,0,0,0,0,0
Back Creek (Gwydir),0,0,0,0,0,0,0,0,0,0,0,0
Back Creek (Mid-Coast),0,0,0,0,0,0,0,0,0,0,0,0
Back Creek (Queanbeyan-Palerang Regional),0,3,0,0,0,0,0,0,0,0,0,0
Back Creek (Tenterfield),0,0,0,0,0,0,0,0,0,0,0,0
Back Creek (Tweed),0,0,0,1,0,0,1,0,0,0,0,0
Back Forest,0,0,1,0,0,0,0,0,0,0,0,1
Backmede,0,4,0,0,0,9,3,0,0,0,0,0
Backwater,0,0,0,0,0,1,0,0,0,0,1,1
Badgerys Creek,1,1,0,2,0,2,3,2,4,3,4,1
Badja,0,0,0,0,0,1,0,0,0,0,0,0
Baerami,0,0,0,2,1,0,1,0,1,0,1,0
Baerami Creek,0,0,0,0,0,0,0,0,0,0,0,0
Bagnoo,0,0,0,0,0,0,0,0,0,0,0,0
Bago,0,2,0,2,1,0,0,0,0,0,0,0
Bagotville,0,0,0,0,0,0,0,1,0,0,0,0
Bakers Creek (Mid-Coast),0,0,2,0,0,0,0,0,0,0,1,0
Bakers Creek (Nambucca Valley),0,0,0,0,0,0,0,0,0,0,0,1
Bakers Creek (Uralla),0,0,0,0,0,0,0,0,0,0,0,0
Bakers Swamp,0,1,0,0,0,0,0,0,0,0,0,0
Balaclava,2,0,3,3,2,0,2,0,1,1,0,0
Balala,0,1,0,0,1,0,1,0,0,0,0,2
Balcolyn,3,2,1,4,4,2,4,4,6,0,0,1
Bald Blair,0,0,0,1,0,1,0,0,0,0,0,0
Bald Hills,0,0,1,0,0,0,0,0,1,0,0,0
Bald Nob,0,0,1,0,0,0,0,0,0,0,0,0
Bald Ridge,0,0,0,0,1,0,0,0,0,0,0,0
Baldersleigh,1,0,0,1,2,0,0,0,0,0,0,0
Baldry,0,2,0,0,1,0,0,0,2,0,0,0
Balfours Peak,0,0,0,0,0,0,0,0,0,0,0,0
Balgowlah,28,26,30,20,36,19,24,25,26,22,22,28
Balgowlah Heights,11,2,3,4,4,2,7,1,7,2,3,1
Balgownie,17,13,11,10,16,12,19,13,12,18,18,19
Balickera,0,0,1,0,0,0,0,0,0,0,2,0
Balladoran,0,0,0,0,0,0,2,0,1,2,0,0
Ballalaba,0,0,0,0,0,0,0,0,0,0,2,0
Balldale,2,1,0,2,0,2,0,0,3,0,3,1
Ballengarra,2,0,0,0,0,0,0,0,0,0,0,0
Ballimore,1,0,1,1,0,0,0,0,1,0,2,0
Ballina,113,104,152,142,121,118,174,159,175,120,141,154
Ballyroe,0,0,0,0,0,0,0,0,0,0,0,0
Balmain,63,73,67,76,78,65,66,78,79,66,58,65
Balmain East,10,10,8,8,12,9,10,12,4,6,9,5
Balmoral (Lake Macquarie),1,6,0,1,2,0,6,0,0,0,1,0
Balmoral (Wingecarribee),4,1,2,2,1,0,2,0,2,0,1,0
Balranald,8,5,9,15,10,10,10,6,14,4,16,9
Bamarang,0,0,1,0,0,0,0,0,0,1,0,0
Bandon Grove,0,0,0,1,0,0,2,0,0,2,8,0
Bangadang,0,0,0,0,0,0,0,0,0,0,0,0
Bangalee,0,1,2,3,0,0,0,0,1,1,1,1
Bangalow,7,12,9,3,13,3,5,4,3,6,9,8
Bangheet,1,0,0,0,0,0,0,0,0,0,0,0
Bango,0,0,0,0,0,0,0,4,0,0,0,0
Bangor,6,21,8,8,9,11,6,6,8,12,3,6
Banksia,13,8,10,9,13,17,20,24,15,15,23,12
Banksmeadow,8,11,5,8,5,1,5,7,4,4,1,4
Bankstown,478,617,464,411,417,442,420,366,385,415,333,336
Bankstown Aerodrome,15,7,5,9,6,3,7,5,4,6,8,6
Bannaby,0,0,0,4,0,1,0,0,0,1,0,2
Bannister,0,0,0,0,1,1,0,0,0,0,1,0
Banoon,0,0,0,0,0,0,0,0,0,0,0,0
Banora Point,42,23,31,68,38,51,35,37,35,43,43,36
Banyabba,0,0,0,0,0,0,0,0,0,0,0,1
Bar Beach,7,16,18,9,16,17,28,21,12,13,14,11
Bar Point,0,0,2,0,2,0,2,1,0,0,2,2
Bara,0,0,0,0,0,0,0,0,0,0,0,1
Baradine,5,10,9,10,12,18,13,13,7,18,8,16
Barangaroo,6,6,10,17,21,28,16,22,18,13,19,15
Barcoongere,3,3,4,10,3,2,0,6,5,6,2,1
Barden Ridge,2,5,4,3,14,2,6,2,1,8,2,12
Bardia,11,13,15,23,15,22,14,20,14,9,18,17
Bardwell Park,8,15,4,7,9,4,4,4,8,9,2,1
Bardwell Valley,1,4,7,2,1,4,11,3,1,2,3,9
Barellan,3,1,0,0,1,4,3,0,3,3,3,3
Bargo,6,13,18,22,10,14,8,17,21,25,17,19
