Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025
Bolaro,0,0,1,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0
Bolong,1,1,0,0,0,1,0,0,3,5,1,4
Bolton Point,16,4,19,14,16,14,16,16,15,21,22,15
Bolwarra,1,3,2,6,1,2,3,2,4,3,5,1
Bolwarra Heights,9,5,3,5,6,5,11,3,11,7,11,5
Bom Bom,0,4,0,0,0,0,0,0,0,0,0,0
Bomaderry,80,56,66,61,55,74,55,67,59,56,61,51
Bombah Point,0,0,0,0,0,3,0,0,0,1,0,0
Bombala,1,5,2,12,4,3,5,3,8,3,5,2
Bombay,0,0,0,0,1,2,1,0,0,0,0,0
Bombira,0,2,2,1,7,4,2,3,0,3,1,2
Bombo,0,0,1,0,3,3,6,0,0,0,3,0
Bombowlee,1,3,0,0,0,0,2,2,0,1,0,0
Bombowlee Creek,0,0,1,0,0,0,0,0,0,0,0,0
Bomen,2,0,1,0,0,2,4,1,4,0,2,0
Bonalbo,9,5,6,3,1,3,3,1,3,7,2,4
Bondi,51,37,46,52,66,35,46,36,40,46,38,32
Bondi Beach,76,113,113,122,91,113,90,65,72,99,82,76
Bondi Forest,0,0,0,0,0,0,0,0,0,0,0,0
Bondi Junction,174,171,208,229,228,194,220,198,213,210,191,190
Bonnells Bay,42,17,24,19,33,30,21,33,31,21,4,13
Bonnet Bay,2,2,0,1,2,4,2,0,1,0,2,6
Bonny Hills,6,1,4,1,7,8,9,1,2,7,2,4
Bonnyrigg,27,43,28,35,55,38,32,45,29,26,41,28
Bonnyrigg Heights,10,14,13,12,14,18,14,13,10,17,12,9
Bonshaw,0,1,0,2,0,1,0,0,1,3,0,0
Bonville,7,7,6,7,13,13,4,7,7,5,11,7
Booerie Creek,0,0,0,0,0,1,0,1,0,0,0,0
Book Book,2,0,0,0,0,0,0,0,0,0,0,0
Booker Bay,7,6,3,1,7,1,0,8,4,8,4,7
Bookham,1,0,0,0,2,0,1,1,0,0,0,0
Bookram,0,0,1,0,0,0,0,0,0,0,0,0
Boolambayte,0,0,1,0,0,1,0,0,0,0,0,3
Boolaroo,30,24,11,21,27,24,20,21,28,15,25,23
Boolcarroll,0,0,0,0,0,0,0,0,0,0,0,0
Booligal,1,0,1,0,0,0,0,0,1,13,0,0
Boolijah,0,0,0,1,0,0,0,0,0,0,0,0
Boomanoomana,0,0,0,0,0,0,0,0,0,0,1,0
Boomerang Beach,4,1,0,0,5,4,6,1,5,0,1,0
Boomey,0,0,0,1,0,0,0,0,0,0,0,0
Boomi,1,5,0,1,2,0,2,2,0,0,0,1
Boomi Creek,0,0,0,0,0,0,0,0,0,0,0,0
Boona Mount,0,0,0,0,0,0,0,0,0,0,0,0
Boonal,0,0,1,0,0,0,0,4,0,0,0,0
Boonoo Boonoo,0,0,0,0,0,0,0,1,0,1,0,0
Boorabee Park,0,0,1,2,1,1,0,1,0,1,0,0
Booragul,8,28,6,11,13,13,7,13,5,14,7,17
Booral,3,1,0,4,0,8,1,0,1,0,2,1
Boorga,2,0,2,0,0,0,0,0,0,0,0,0
Boorganna,0,0,0,0,1,0,0,0,0,0,0,0
Boorolong,0,1,0,0,0,1,0,0,0,1,1,0
Boorook,0,0,0,0,0,2,0,0,0,0,1,0
Boorooma,6,9,6,3,8,9,3,3,8,4,4,5
Booroorban,0,0,0,0,0,0,0,0,0,0,0,0
Boorowa,2,4,9,12,13,11,6,10,12,6,6,8
Bootawa,0,1,0,1,0,0,2,0,2,0,0,1
Booti Booti,0,0,3,0,0,0,0,0,0,0,0,1
Booyong,0,0,0,0,0,0,0,0,0,0,0,0
Bora Ridge,1,0,1,2,0,0,0,0,2,0,0,1
Borah Creek,0,0,0,0,0,0,0,0,0,0,0,0
Borambola,0,0,0,2,0,0,0,0,0,0,0,0
Border Ranges,0,0,0,0,0,0,0,0,0,0,0,0
Boree,0,0,0,0,0,0,4,0,0,0,0,0
Boree Creek,2,1,1,0,2,0,0,3,0,0,0,0
Borenore,0,4,1,1,0,1,1,1,2,3,0,0
Boro,0,0,0,0,3,0,3,0,0,0,0,0
Bossley Park,25,39,23,30,33,33,50,39,33,17,20,17
Bostobrick,0,0,0,1,1,0,0,3,0,0,0,0
Botany,47,30,33,39,34,40,19,19,32,27,26,40
Botobolar,0,0,0,1,0,1,0,0,0,0,0,0
Bottle Creek,1,0,0,0,0,0,0,0,0,0,0,0
Bouddi,0,0,0,0,1,0,0,2,0,0,0,0
Bourbah,0,0,0,0,0,0,0,0,0,0,1,0
Bourke,85,112,88,121,135,95,92,82,60,82,91,85
Bourkelands,4,5,0,3,5,13,7,5,4,7,8,7
Bournda,0,0,0,0,0,0,0,0,0,0,0,0
Bournewood,0,0,0,0,0,0,0,0,0,0,0,0
Bow Bowing,4,1,1,7,3,1,5,3,2,5,6,4
Bowan Park,0,0,0,0,0,0,0,0,0,1,0,0
Bowen Mountain,2,6,5,4,9,3,3,5,0,1,5,2
Bowenfels,35,37,27,44,41,42,47,51,40,43,21,26
Bowling Alley Point,0,0,0,0,0,0,0,0,0,0,0,0
Bowman,0,1,0,0,0,0,1,1,0,0,0,0
Bowman Farm,0,0,0,0,0,0,0,0,0,0,0,0
Bowmans Creek,0,1,0,0,0,0,0,0,0,0,0,0
Bowna,0,0,0,1,0,1,0,0,0,1,0,0
Bowning,2,0,1,1,0,3,4,0,4,3,1,0
Bowral,18,26,29,36,45,35,36,21,41,24,34,32
Bowraville,10,11,12,2,7,6,5,8,16,18,10,9
Box Head,0,0,0,0,0,1,0,0,0,1,0,0
Box Hill,29,47,14,22,25,38,40,25,33,23,22,27
Boxers Creek,0,1,3,0,1,0,2,1,2,1,0,1
Boydtown,0,1,0,0,2,0,0,1,0,0,0,0
Bradbury,42,51,38,34,33,36,43,38,45,40,43,34
Braefield,0,0,0,0,0,0,0,0,0,0,0,0
Braemar,1,7,2,4,6,0,5,4,2,3,8,0
Braemar Bay,0,0,0,0,0,0,0,0,0,0,0,0
Braidwood,13,15,11,11,10,14,6,8,13,10,14,3
Brandy Hill,0,1,1,0,0,1,3,0,1,1,1,0
Branxton,7,22,15,6,8,14,15,9,7,16,7,9
Braunstone,2,2,0,1,1,6,0,1,2,6,2,3
Brawboy,0,0,0,0,0,0,0,0,0,0,0,0
Bray Park,0,3,1,4,1,1,2,2,1,0,3,0
Brays Creek,1,0,1,0,0,5,2,0,0,1,0,0
Brayton,0,0,1,0,1,0,0,0,1,2,0,0
Breadalbane,0,0,3,0,3,0,3,0,0,2,0,0
Breakfast Creek,0,0,0,0,0,0,5,0,0,1,0,0
Breakfast Point,6,5,6,1,4,7,1,8,3,2,1,2
Bream Beach,0,0,0,0,0,0,0,0,0,0,0,0
Bredbo,0,0,4,4,0,0,0,1,0,1,2,0
Breelong,0,0,0,0,0,1,0,0,0,0,0,0
Breeza,1,1,1,1,0,2,0,0,2,2,0,0
Bretti,0,0,1,0,0,0,0,0,0,0,0,0
Brewarrina,36,50,42,31,28,52,31,45,41,26,25,27
Brewongle,0,0,0,0,1,0,0,0,0,0,0,0
Briarbrook,0,0,0,0,0,0,0,0,0,0,0,0
Bribbaree,0,2,0,2,3,0,8,6,3,1,7,1
Bridgman,0,1,0,4,2,0,0,0,7,0,0,0
Brierfield,0,4,0,0,1,0,0,4,0,0,0,3
Brighton-Le-Sands,39,29,44,38,35,31,46,46,34,31,23,21
Brightwaters,1,3,3,2,1,4,2,1,0,1,1,1
Bril Bril,0,0,0,0,0,0,0,0,0,0,0,0
Brimbin,0,0,0,0,0,0,0,0,0,1,0,0
Brindabella,0,0,0,0,0,1,0,1,0,0,0,0
Brinerville,0,0,0,0,0,0,0,0,0,0,0,0
Bringelly,6,12,9,15,15,19,15,11,11,9,21,8
Bringenbrong,0,0,0,0,0,0,1,4,0,0,0,0
Brisbane Grove,0,1,3,5,1,3,0,2,0,3,5,0
Broadmeadow,66,55,62,54,46,63,78,46,62,41,45,62
Broadwater (Bega Valley),0,1,1,0,1,0,0,1,0,0,1,0
Broadwater (Richmond Valley),3,3,4,6,11,8,5,9,4,1,5,1
Broadway,0,0,1,0,2,4,0,0,0,0,0,0
Brobenah,0,0,0,0,0,0,0,0,0,0,0,0
Brocklehurst,5,0,0,3,4,1,4,3,5,8,4,1
Brocklesby,0,0,0,1,0,0,1,0,0,0,1,0
Brockley,0,0,0,0,0,0,0,0,0,0,0,0
Brodies Plains,0,0,0,1,0,0,0,0,0,0,0,0
Brogans Creek,0,0,0,0,0,0,0,0,0,0,0,0
Brogers Creek,0,0,0,0,0,0,1,0,0,0,0,1
Brogo,0,3,1,0,2,1,1,8,1,0,0,3
Broke,6,3,6,5,1,1,1,0,2,4,4,4
Broken Head,0,0,0,0,1,0,1,0,0,2,0,1
Broken Hill,222,253,234,319,227,228,247,237,285,226,242,163
Brombin,0,0,2,0,0,0,0,0,0,1,0,0
Bronte,17,19,20,30,14,33,20,14,16,23,24,16
Brookdale,1,0,0,0,0,0,2,0,0,0,0,0
Brookfield,2,1,0,0,2,1,0,0,0,1,1,0
Brooklana,1,0,0,0,0,0,1,0,2,0,0,3
Brooklet,0,1,1,1,0,4,1,1,0,0,1,0
Brooklyn,0,6,7,6,11,9,2,3,3,13,3,6
Brookong,0,0,0,0,0,0,0,0,0,0,0,0
Brookvale,95,79,49,56,66,65,47,55,62,60,57,60
Brooman,0,0,0,0,0,0,0,0,0,1,0,1
Brooms Head,0,0,0,1,0,0,2,1,1,0,1,0
Broughams Gate,0,0,1,0,0,0,1,0,0,0,0,1
Broughton,0,0,0,0,0,0,1,0,0,0,1,0
Broughton Vale,0,0,0,0,0,0,0,0,1,0,0,0
Broughton Village,0,0,2,0,0,0,0,0,1,0,0,0
Broulee,7,6,9,7,5,4,14,8,14,13,2,8
Brownlow Hill,0,1,0,0,0,0,0,0,1,0,0,0
Browns Creek,0,0,0,1,0,0,0,1,0,0,0,3
Browns Mountain,0,0,0,0,0,0,0,0,0,0,0,0
Brownsville,6,2,9,3,9,4,12,2,0,8,7,1
Brucedale,0,0,1,0,0,0,0,0,0,0,1,0
Bruie Plains,0,2,3,0,0,0,0,2,0,0,0,0
Bruinbun,0,1,2,1,0,0,0,0,0,0,1,0
Brumby Plains,0,0,0,0,0,0,0,0,0,0,0,0
Brundee,0,0,0,0,0,0,0,0,1,0,0,0
Brungle,0,0,0,0,0,0,0,0,0,1,1,0
Brungle Creek,0,0,0,0,0,0,0,0,0,0,0,0
Brunkerville,2,0,0,3,1,0,1,0,1,2,0,0
Brunswick Heads,42,21,38,29,34,23,30,19,39,20,12,13
Brushgrove,0,1,0,1,0,0,0,0,4,1,0,0
Brushy Creek,0,0,0,0,0,0,0,0,0,0,0,0
Buangla,0,0,2,1,0,0,0,0,0,0,0,0
Bucca,2,3,16,2,2,3,6,7,2,1,1,1
Bucca Wauka,0,0,0,1,0,0,0,0,3,0,1,0
Buccarumbi,0,0,5,2,0,0,0,2,0,0,3,1
Buchanan,6,6,4,6,5,1,2,5,4,9,4,5
Buckajo,0,1,0,0,0,2,0,0,1,2,0,0
Buckaroo,0,0,0,0,0,0,0,0,0,0,0,0
Buckenbowra,0,0,0,0,0,0,0,0,0,0,0,0
Buckenderra,0,0,1,0,0,0,0,0,0,0,0,0
Buckendoon,0,0,0,1,0,0,1,0,0,1,0,0
Bucketty,0,0,0,0,0,0,0,0,0,0,0,0
Buckra Bendinni,2,0,0,0,1,2,3,0,0,0,0,0
Budawang,0,2,0,0,0,0,0,0,0,0,0,1
Buddabadah,0,0,0,0,0,0,0,0,0,0,0,0
Budden,0,0,0,0,0,0,0,0,0,0,0,0
Budderoo,0,0,0,0,0,1,0,0,1,0,2,0
Buddong,0,0,0,0,0,0,0,0,0,0,0,0
Budgee Budgee,0,0,0,2,0,1,0,0,1,0,0,2
Budgewoi,20,25,29,8,30,26,15,33,34,23,30,15
Budgewoi Peninsula,0,0,0,0,0,0,0,0,0,0,0,2
Budgong,0,0,0,2,0,0,0,0,0,0,0,0
Buff Point,14,9,7,8,9,21,25,14,25,25,10,11
Bugaldie,0,0,0,2,1,2,0,0,1,0,0,0
Bukalong,0,0,0,0,0,0,0,0,0,0,0,0
Bukkulla,2,0,2,0,0,0,1,2,1,0,0,3
Bulahdelah,15,6,6,14,19,16,16,20,11,6,13,8
Bulee,0,0,0,0,0,0,0,0,0,0,0,0
Bulga,7,1,3,1,4,2,3,2,1,3,3,6
Bulga Forest,0,0,0,0,1,0,0,0,2,0,0,0
Bulgary,0,0,0,0,0,0,0,0,0,0,0,0
Bulla,0,0,0,0,0,0,0,0,0,0,0,0
Bulla Creek,0,0,0,0,0,0,0,0,0,0,0,0
Bullaburra,0,1,2,6,1,1,3,2,1,1,1,0
Bullagreen,0,0,0,0,0,0,0,0,0,0,0,0
Bullarah,0,0,0,0,0,0,0,0,0,0,0,0
Bullatale,0,0,0,1,4,0,0,0,2,0,0,1
Bullawa Creek,0,0,1,0,2,0,0,0,0,0,0,0
Bulldog,0,0,0,1,0,0,0,0,0,2,3,0
Bulli,33,45,24,25,23,32,37,34,17,38,48,31
Bulliac,0,0,0,2,0,1,0,0,0,0,0,0
Bullio,0,1,0,0,1,0,1,1,0,0,0,1
Bulyeroi,0,0,0,0,0,0,0,0,0,0,0,0
Bumbaldry,0,0,0,0,0,0,0,0,0,0,0,0
Bumbalong,0,0,0,0,0,0,0,0,1,0,0,0
Bundabah,0,1,1,2,0,1,1,0,0,1,2,0
Bundagen,0,1,0,0,0,0,0,1,0,1,2,0
Bundanoon,3,4,1,2,2,1,1,2,5,6,1,5
Bundarra,3,1,0,3,1,8,0,3,3,1,0,0
Bundeena,3,0,4,6,6,7,3,1,5,1,1,3
Bundella,0,0,0,0,0,0,0,0,0,0,0,0
Bundemar,0,0,0,0,0,0,0,0,0,0,0,1
Bundewallah,0,0,0,0,0,0,1,0,0,0,0,0
Bundook,0,0,0,0,0,0,0,0,0,0,1,0
Bundure,1,0,1,2,0,0,0,1,0,0,0,0
Bungaba,0,2,0,0,0,0,0,0,0,0,0,0
Bungabbee,0,0,0,0,0,0,0,0,0,0,0,0
Bungalora,0,0,0,0,0,0,0,0,0,0,0,0
Bungarby,1,0,0,1,0,0,1,0,1,0,0,0
Bungarribee,9,9,9,7,4,9,1,7,6,4,6,2
Bungawalbin,1,0,0,0,0,0,0,0,0,0,0,0
Bungendore,15,18,6,27,21,12,12,9,30,4,16,14
Bungonia,0,2,0,0,1,0,0,6,1,0,1,1
Bungowannah,1,0,0,0,0,1,0,0,0,0,0,0
Bungwahl,1,0,2,0,1,7,0,4,1,0,0,2
Bunnaloo,0,0,0,1,0,0,0,2,0,0,0,0
Bunnan,0,0,0,1,1,0,0,0,0,0,0,0
Bunyah,0,0,2,2,0,0,0,0,0,2,0,0
Bunyan,1,1,0,1,0,1,1,0,0,0,0,0
Burcher,0,0,0,0,1,0,0,0,1,0,0,0
Bureen,0,1,0,0,1,0,0,0,0,0,0,1
Burnt Bridge,2,2,3,4,2,0,3,3,4,3,6,1
Burnt Yards,0,0,0,1,0,0,0,0,0,0,0,0
Buronga,16,17,28,11,8,17,11,7,12,13,4,9
Burra (Queanbeyan-Palerang Regional),0,2,3,0,4,0,3,2,0,0,2,1
Burra (Snowy Valleys),0,1,0,0,0,0,0,0,0,0,0,0
Burra Creek,0,0,0,0,0,0,0,0,0,1,1,0
Burraboi,0,0,0,0,0,0,0,0,0,0,0,0
Burradoo,7,6,4,2,3,2,2,6,6,9,6,0
Burraga,0,1,0,0,1,0,1,0,0,0,0,0
Burragate,0,0,0,0,0,0,0,0,2,1,0,0
Burrandana,0,0,0,0,0,0,0,0,0,0,0,0
Burraneer,5,3,4,13,4,8,2,5,4,4,10,2
Burrangong,0,1,1,0,0,0,1,0,0,0,0,0
Burrapine,0,0,0,0,0,0,0,0,0,0,0,0
Burrawang,1,2,2,2,2,1,0,0,1,1,0,0
Burrell Creek,3,0,0,0,1,0,0,0,0,0,1,0
Burren Junction,1,1,0,4,0,1,5,0,0,0,0,2
Burrier,0,0,0,0,0,0,0,0,1,0,0,0
Burrill Lake,5,11,4,5,4,5,5,6,5,2,4,11
Burringbar,3,5,7,1,5,6,10,4,8,3,9,2
Burrinjuck,0,0,0,0,0,0,0,0,0,0,0,0
Burroway,0,2,2,0,0,2,0,0,0,0,0,2
Burrumbuttock,0,0,2,0,1,1,1,0,1,3,2,2
Burrundulla,1,0,1,0,4,1,1,1,1,0,0,3
Burrungubugge,7,15,0,0,1,0,0,0,3,2,0,0
Burwood,188,167,161,152,166,165,169,161,205,192,192,160
Burwood Heights,1,2,0,3,3,4,6,2,1,3,1,1
Busby,17,29,30,35,40,20,31,18,24,22,27,22
Busbys Flat,0,0,0,1,0,0,0,0,0,0,0,0
Bushells Ridge,0,1,1,1,0,0,4,2,1,0,2,0
Buttaba,3,3,7,5,5,2,3,5,4,5,1,1
Buttai,0,1,0,0,1,0,0,0,2,0,0,0
Butterwick,0,0,0,0,0,0,0,0,0,0,0,0
Buxton,6,4,4,2,3,1,2,0,6,1,3,3
Byabarra,0,1,1,1,3,0,0,0,2,3,1,1
Byangum,0,0,0,1,0,0,3,1,0,0,0,2
Bylong,0,0,0,0,0,0,0,0,0,0,0,0
Byng,0,0,0,0,0,0,0,0,0,0,0,0
Byrock,1,0,0,0,0,0,0,0,0,0,0,0
Byron Bay,151,123,90,125,107,130,169,148,136,97,118,121
Byrrill Creek,0,0,0,0,0,0,2,0,2,1,0,1
Bywong,1,0,2,7,5,1,7,3,0,5,3,0
Cabarita,6,6,6,9,9,19,23,11,14,14,6,6
Cabarita Beach,1,3,1,0,2,1,2,0,0,1,0,3
Cabbage Tree Island (Ballina),0,1,0,0,0,0,0,0,0,0,0,0
Cabbage Tree Island (Mid-Coast),0,1,0,0,0,0,0,0,0,0,0,0
Cabramatta,265,286,264,205,219,327,272,269,261,304,361,257
Cabramatta West,32,29,22,19,30,33,39,19,32,17,16,22
Cabramurra,0,0,0,0,0,1,0,0,0,0,1,0
Caddens,9,9,5,7,17,5,6,7,17,10,12,13
Cadgee,0,0,0,0,0,0,0,0,0,0,0,0
Cadia,1,0,0,0,0,0,0,1,1,0,0,0
Caerleon,3,2,8,4,4,6,3,0,5,1,1,6
Caffreys Flat,0,0,0,0,0,0,0,4,0,0,0,1
Cairncross,2,0,0,0,0,0,0,0,0,0,0,0
Calala,12,11,30,13,11,21,27,16,17,17,22,27
Calamia,0,0,0,0,0,3,0,3,0,0,0,0
Calderwood,6,14,2,11,3,12,16,11,6,6,4,3
Caldwell,0,0,1,2,0,0,0,0,0,0,0,0
Calga,0,0,0,0,1,24,6,1,0,2,0,2
Califat,0,0,0,0,0,0,0,0,0,0,0,0
Calimo,0,0,1,0,0,0,1,0,0,1,0,1
Callaghan,19,14,19,11,6,9,4,7,11,10,14,12
Callaghans Creek,0,0,0,0,0,0,0,0,0,0,0,0
Callala Bay,2,5,3,4,3,5,4,5,5,10,3,7
Callala Beach,3,3,1,9,4,1,1,0,1,7,2,1
Calliope,2,0,0,0,1,0,0,0,0,0,0,0
Caloola,0,0,0,0,0,0,0,0,1,0,0,0
Cambalong,0,0,1,0,0,0,0,0,0,0,0,0
Camberwell,2,3,1,2,2,0,0,1,1,1,0,0
Cambewarra,0,1,3,1,8,0,1,1,5,3,3,1
Cambewarra Village,2,4,1,2,1,0,1,2,4,0,0,0
Camboon,0,0,0,0,0,0,0,0,0,0,0,0
Cambra,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge Gardens,17,21,14,11,15,21,22,25,16,15,29,18
Cambridge Park,26,40,23,30,26,33,23,47,44,39,27,21
Cambridge Plateau,0,0,0,0,0,0,0,0,0,0,0,0
Camden,12,26,11,15,24,19,17,16,40,22,30,18
Camden Head,0,0,0,0,3,0,0,0,0,0,0,0
Camden Park,1,10,4,7,3,7,3,5,4,3,6,5
Camden South,3,15,7,8,16,6,0,5,9,5,8,3
Camellia,2,1,0,0,0,2,0,0,0,0,1,1
Cameron Park,40,51,34,38,50,40,49,27,47,29,30,33
Camerons Creek,0,0,0,0,0,1,0,0,0,0,0,0
Camira,0,1,0,0,0,0,0,0,0,0,0,0
Cammeray,12,8,8,13,8,15,36,12,8,8,12,10
Camp Creek,0,2,1,3,0,0,0,0,0,0,0,0
Campbelltown,504,592,488,451,655,622,532,497,526,575,549,527
Camperdown,93,77,97,101,82,96,75,72,117,80,107,107
Campsie,130,189,136,129,137,117,164,121,167,125,127,142
Campvale,0,1,2,2,1,1,0,1,2,0,0,0
Cams Wharf,0,1,0,0,0,1,0,1,0,2,1,1
Canada Bay,4,3,3,1,5,1,2,3,3,4,1,2
Canadian Lead,0,0,0,0,0,0,0,0,0,0,0,0
Canbelego,1,0,0,0,0,3,0,4,0,2,0,0
Candelo,0,0,1,4,3,0,0,1,3,1,2,3
Cangai,0,0,1,0,0,0,0,0,0,0,1,0
Caniaba,0,0,3,4,4,0,3,1,2,1,0,0
Canley Heights,39,32,29,35,34,41,34,32,34,49,29,29
Canley Vale,32,47,37,59,38,36,35,61,64,40,42,27
Canobolas,1,4,0,3,0,1,2,1,2,1,0,2
Canoelands,0,0,0,1,1,1,0,0,2,0,0,0
Canonba,0,0,0,0,0,0,0,0,0,0,0,1
Canowindra,18,20,5,11,8,16,16,9,10,12,16,9
Canterbury,26,49,23,26,22,32,48,22,27,23,27,28
Canton Beach,13,15,9,11,13,20,14,17,7,10,14,10
Canyonleigh,0,1,0,1,0,1,3,0,0,1,1,0
Caparra,0,0,0,0,0,3,0,0,0,0,0,0
Capeen Creek,0,0,0,1,0,0,0,0,0,0,0,0
Capertee,2,0,1,1,0,2,1,0,3,0,0,2
Capoompeta,0,0,0,0,0,0,0,0,0,0,0,0
Captains Flat,3,0,2,3,2,2,1,6,1,4,0,0
Carabost,0,0,0,0,0,0,1,1,1,0,0,0
Caragabal,1,2,1,0,0,1,0,1,0,0,6,1
Carcalgong,0,0,1,0,0,0,0,0,0,0,0,0
Carcoar,0,6,3,0,5,1,1,0,1,3,0,1
Cardiff,63,75,59,85,77,53,74,69,81,85,75,92
Cardiff Heights,2,3,1,1,3,0,2,2,0,3,2,0
Cardiff South,6,9,11,24,12,9,10,11,7,10,2,5
Carey Bay,1,2,1,1,1,2,2,1,2,3,0,2
Cargo,2,1,1,0,0,0,2,0,0,5,4,0
Carinda,1,1,2,0,0,2,0,2,0,0,0,2
Caringbah,99,133,80,84,109,127,117,93,121,91,105,77
Caringbah South,11,20,16,17,17,15,15,14,24,8,24,9
Carlaminda,0,0,0,0,0,0,0,0,0,0,0,0
Carlingford,50,51,48,78,55,73,69,70,60,55,72,53
Carlton,20,27,34,25,20,18,26,19,30,21,25,17
Carnes Hill,11,11,19,13,15,12,18,11,23,18,11,11
Carnham,0,0,0,0,0,0,0,0,0,0,0,0
Carool,0,1,0,0,0,0,0,1,0,0,0,1
Caroona,0,0,1,1,0,1,2,1,3,2,2,1
Carrabolla,0,0,0,0,0,0,0,0,0,1,0,0
Carrai,0,0,0,0,0,0,0,0,0,1,0,0
Carramar,18,28,15,11,15,21,35,26,27,33,20,21
Carrathool,2,0,0,1,1,0,0,2,1,2,0,3
Carrick,0,0,0,0,0,2,3,2,1,3,0,1
Carrington (Mid-Coast),0,0,0,0,0,0,0,3,0,0,0,0
Carrington (Newcastle),16,10,20,9,17,23,11,15,7,12,12,9
Carrington Falls,0,0,0,0,0,0,0,1,0,0,0,0
Carroll,9,2,4,3,2,8,3,3,1,3,5,3
Carrowbrook,0,5,0,0,0,0,0,0,0,6,0,0
Carrs Creek,1,3,1,2,0,4,2,0,0,0,2,2
Carrs Island,0,0,0,0,0,0,0,0,0,0,0,0
Carrs Peninsula,0,0,0,0,0,0,0,0,0,0,0,0
Carss Park,0,1,9,3,5,3,4,1,5,2,4,6
Cartwright,44,33,37,18,37,37,34,43,46,32,27,34
Cartwrights Hill,0,0,0,2,0,1,2,0,2,0,1,0
Carwell,0,0,0,0,0,0,0,0,0,0,0,0
Carwoola,4,7,3,8,4,4,3,3,9,3,4,3
Cascade,0,0,0,0,0,0,0,0,0,0,0,0
Casino,150,143,121,133,178,165,172,152,131,129,156,132
Cassilis,2,3,1,2,3,1,1,5,1,2,0,1
Castle Cove,5,4,0,3,6,8,1,4,1,10,2,3
Castle Doyle,0,0,0,1,0,1,0,0,0,0,0,0
Castle Hill,181,135,141,135,142,180,117,94,122,130,115,109
Castle Rock,1,2,1,0,1,2,0,2,0,1,2,0
Castlecrag,1,4,4,6,5,3,1,1,3,1,2,2
Castlereagh,5,4,13,3,8,14,7,7,10,5,5,4
Casuarina,5,5,5,4,7,3,14,11,14,10,12,7
Casula,108,86,67,82,107,102,84,72,79,67,92,73
Catalina,20,7,13,4,3,5,14,3,19,7,23,13
Cataract,3,2,1,1,3,0,4,0,5,2,0,0
Cathcart,0,0,0,1,0,1,3,0,0,0,0,0
Catherine Field,5,11,5,2,6,10,11,6,13,8,4,3
Catherine Hill Bay,2,4,0,2,5,2,4,2,1,1,3,3
Cathundral,0,0,0,0,0,0,0,0,0,0,0,0
Cattai,3,0,1,1,3,6,3,2,6,2,2,1
Cattle Creek,0,0,0,0,0,1,0,0,0,1,0,0
Cavan,0,0,0,0,0,0,0,0,0,0,0,0
Caves Beach,12,10,10,10,10,10,10,17,12,18,17,11
Cawdor,2,1,3,6,3,3,3,2,3,2,0,7
Cawongla,1,2,0,4,0,2,0,2,0,0,1,2
Cecil Hills,14,14,16,9,24,13,9,21,15,11,14,12
Cecil Park,2,6,7,2,6,2,1,1,3,0,6,0
Cedar Brush Creek,1,0,0,0,0,0,2,0,1,0,0,0
Cedar Creek (Cessnock),0,0,0,0,0,0,0,0,0,0,0,1
Cedar Creek (Tweed),0,0,0,0,0,0,0,0,0,0,0,0
Cedar Party,0,0,0,0,1,1,0,0,0,0,1,2
Cedar Point,1,0,0,0,0,0,3,0,0,0,0,0
Cells River,0,0,0,0,0,0,0,0,0,0,0,0
Centennial Park,13,6,3,97,19,54,18,62,52,6,9,19
Central Colo,0,0,1,0,0,0,0,0,0,0,0,0
Central Macdonald,0,0,0,0,0,0,0,0,0,0,0,0
Central Mangrove,1,0,0,2,0,2,0,3,0,0,1,2
Central Tilba,1,1,0,1,3,1,0,2,1,0,0,1
Cessnock,177,212,170,190,176,179,193,187,183,182,168,143
Chaelundi,0,0,0,0,0,0,0,0,0,0,0,0
Chain Valley Bay,1,13,3,3,3,3,0,4,3,9,6,5
Chakola,3,2,0,0,0,0,0,0,0,0,0,0
Chambigne,0,0,1,2,3,0,0,0,0,3,0,1
Charbon,3,2,1,1,0,1,0,1,0,0,1,1
Charles Sturt University,8,1,1,1,1,1,0,1,4,1,2,1
Charlestown,100,90,80,106,98,83,94,88,91,119,107,94
Charleys Forest,0,0,0,0,0,0,0,0,1,0,0,0
Charlotte Bay,3,0,1,1,0,2,0,1,1,1,0,0
Charlton,0,0,0,0,0,1,0,4,0,0,0,0
Charmhaven,20,23,13,16,16,33,26,39,34,19,43,30
Chatham Valley,0,0,0,0,0,0,0,0,0,1,0,0
Chatsbury,0,0,0,0,0,0,0,0,0,0,3,0
Chatswood,283,279,216,208,233,263,318,214,279,321,280,247
Chatswood West,7,1,0,2,0,1,4,0,1,1,2,1
Chatsworth,0,1,0,0,0,0,0,2,0,1,0,0
Cheero Point,0,0,1,0,0,0,0,0,0,0,0,0
Cheltenham,5,4,10,7,7,7,1,1,2,7,4,8
Cherry Tree Hill,0,0,0,1,0,0,0,0,0,0,0,0
Cherrybrook,21,21,21,21,17,23,12,14,22,20,17,21
Chester Hill,81,88,75,80,78,66,59,52,73,83,73,66
Chichester,0,0,0,0,0,0,4,0,0,0,0,0
